"hospital_no","hospital_time_no","start","end","mon","tue","wed","thu","fry","sat","sun","hol","status","rgst","updt","created_id","updated_id"
"20005","2",,,"0","0","0","0","0","0","0","0","1","2017-08-09 11:18:18","2019-07-30 12:55:11","epkdoc01","epkdoc01"
"20005","3",,,"0","0","0","0","0","0","0","0","1","2017-08-09 11:18:18","2019-07-30 12:55:11","epkdoc01","epkdoc01"
"20005","4",,,"0","0","0","0","0","0","0","0","1","2017-08-09 11:18:18","2019-07-30 12:55:11","epkdoc01","epkdoc01"
"20007","1","08:30","18:00","1","1","1","1","1","1","0","0","1","2017-08-17 12:26:18","2019-07-02 10:32:07","epkdoc01","epkdoc01"
"20007","2",,,"0","0","0","0","0","0","0","0","1","2017-08-17 12:26:18","2019-07-02 10:32:07","epkdoc01","epkdoc01"
"20007","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 12:26:18","2019-07-02 10:32:07","epkdoc01","epkdoc01"
"20007","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 12:26:18","2019-07-02 10:32:07","epkdoc01","epkdoc01"
"20008","1","09:00","12:00","1","1","1","1","1","0","0","0","1","2017-08-15 20:58:50","2019-11-07 11:34:25","epkdoc01","epkdoc01"
"20008","2","13:30","17:00","1","1","1","1","1","0","0","0","1","2017-08-15 20:58:50","2019-11-07 11:34:25","epkdoc01","epkdoc01"
"20008","3",,,"0","0","0","0","0","0","0","0","1","2017-08-15 20:58:50","2019-11-07 11:34:25","epkdoc01","epkdoc01"
"20008","4",,,"0","0","0","0","0","0","0","0","1","2017-08-15 20:58:50","2019-11-07 11:34:25","epkdoc01","epkdoc01"
"20009","1","09:00","12:30","1","1","1","0","1","0","0","0","1","2017-08-15 09:27:22","2019-07-29 11:13:43","epkdoc01","epkdoc01"
"20009","2","15:00","18:00","1","1","1","0","1","0","0","0","1","2017-08-15 09:27:22","2019-07-29 11:13:43","epkdoc01","epkdoc01"
"20009","3","14:00","18:00","0","0","0","1","0","0","0","0","1","2017-08-15 09:27:22","2019-07-29 11:13:43","epkdoc01","epkdoc01"
"20009","4","09:00","13:00","0","0","0","0","0","1","0","0","1","2017-08-15 09:27:22","2019-07-29 11:13:43","epkdoc01","epkdoc01"
"20010","1","09:00","17:00","1","1","1","1","1","1","0","0","1","2017-08-14 09:35:48","2019-07-29 12:00:33","epkdoc01","epkdoc01"
"20010","2",,,"0","0","0","0","0","0","0","0","1","2017-08-14 09:35:48","2019-07-29 12:00:33","epkdoc01","epkdoc01"
"20010","3",,,"0","0","0","0","0","0","0","0","1","2017-08-14 09:35:48","2019-07-29 12:00:33","epkdoc01","epkdoc01"
"20010","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 09:35:48","2019-07-29 12:00:33","epkdoc01","epkdoc01"
"20011","1","09:00","11:00","0","1","1","1","1","1","0","0","1","2017-08-15 18:22:01","2019-07-30 10:21:06","epkdoc01","epkdoc01"
"20011","2","14:00","15:00","0","1","1","1","1","1","0","0","1","2017-08-15 18:22:01","2019-07-30 10:21:06","epkdoc01","epkdoc01"
"20011","3",,,"0","0","0","0","0","0","0","0","1","2017-08-15 18:22:01","2019-07-30 10:21:06","epkdoc01","epkdoc01"
"20011","4",,,"0","0","0","0","0","0","0","0","1","2017-08-15 18:22:01","2019-07-30 10:21:06","epkdoc01","epkdoc01"
"20012","1","09:00","17:30","1","1","0","1","1","1","1","1","1","2017-08-10 16:19:55","2019-12-02 18:17:26","epkdoc01","epkdoc01"
"20012","2",,,"0","0","0","0","0","0","1","0","1","2017-08-10 16:19:55","2019-12-02 18:17:26","epkdoc01","epkdoc01"
"20012","3",,,"0","0","0","0","0","0","0","0","1","2017-08-10 16:19:56","2019-12-02 18:17:26","epkdoc01","epkdoc01"
"20012","4",,,"0","0","0","0","0","0","0","0","1","2017-08-10 16:19:56","2019-12-02 18:17:26","epkdoc01","epkdoc01"
"20013","1","08:40","13:00","1","1","1","1","1","1","0","0","1","2017-08-14 14:54:43","2019-07-09 10:51:32","epkdoc01","epkdoc01"
"20013","2","14:00","17:00","1","1","1","1","1","0","0","0","1","2017-08-14 14:54:43","2019-07-09 10:51:32","epkdoc01","epkdoc01"
"20013","3",,,"0","0","0","0","0","0","0","0","1","2017-08-14 14:54:43","2019-07-09 10:51:32","epkdoc01","epkdoc01"
"20013","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 14:54:43","2019-07-09 10:51:32","epkdoc01","epkdoc01"
"20014","1","08:40","13:00","1","0","0","0","0","1","0","0","1","2017-08-14 15:08:27","2019-07-29 14:55:19","epkdoc01","epkdoc01"
"20014","2","08:30","13:00","0","1","1","1","1","0","0","0","1","2017-08-14 15:08:27","2019-07-29 14:55:19","epkdoc01","epkdoc01"
"20014","3","14:00","17:00","1","1","1","1","1","0","0","0","1","2017-08-14 15:08:27","2019-07-29 14:55:19","epkdoc01","epkdoc01"
"20014","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 15:08:27","2019-07-29 14:55:20","epkdoc01","epkdoc01"
"20015","1","09:00","12:00","1","1","1","1","1","1","0","0","1","2017-08-16 10:47:39","2019-07-29 14:34:07","epkdoc01","epkdoc01"
"20015","2","15:00","19:00","1","1","0","1","1","0","0","0","1","2017-08-16 10:47:39","2019-07-29 14:34:07","epkdoc01","epkdoc01"
"20015","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 10:47:39","2019-07-29 14:34:07","epkdoc01","epkdoc01"
"20015","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 10:47:39","2019-07-29 14:34:07","epkdoc01","epkdoc01"
"20016","1","09:00","13:00","1","1","1","1","1","1","0","0","1","2017-08-14 15:26:26","2019-09-24 17:20:31","epkdoc01","epkdoc01"
"20016","2","15:00","19:00","1","1","1","1","1","0","0","0","1","2017-08-14 15:26:26","2019-09-24 17:20:31","epkdoc01","epkdoc01"
"20016","3","14:30","17:00","0","0","0","0","0","1","0","0","1","2017-08-14 15:26:26","2019-09-24 17:20:31","epkdoc01","epkdoc01"
"20016","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 15:26:26","2019-09-24 17:20:31","epkdoc01","epkdoc01"
"20019","1","09:00","13:00","1","1","1","1","1","0","0","0","1","2017-08-18 10:04:53","2019-07-30 11:19:02","epkdoc01","epkdoc01"
"20019","2","14:00","18:00","1","1","1","1","1","0","0","0","1","2017-08-18 10:04:53","2019-07-30 11:19:02","epkdoc01","epkdoc01"
"20019","3","09:00","12:00","0","0","0","0","0","1","0","0","1","2017-08-18 10:04:53","2019-07-30 11:19:02","epkdoc01","epkdoc01"
"20019","4",,,"0","0","0","0","0","0","0","0","1","2017-08-18 10:04:53","2019-07-30 11:19:02","epkdoc01","epkdoc01"
"20020","1","09:30","13:00","1","1","1","0","1","1","0","0","1","2017-08-15 18:39:00","2019-07-29 10:58:59","epkdoc01","epkdoc01"
"20020","2","15:00","18:30","1","1","1","0","1","0","0","0","1","2017-08-15 18:39:00","2019-07-29 10:58:59","epkdoc01","epkdoc01"
"20020","3",,,"0","0","0","0","0","0","0","0","1","2017-08-15 18:39:00","2019-07-29 10:58:59","epkdoc01","epkdoc01"
"20020","4",,,"0","0","0","0","0","0","0","0","1","2017-08-15 18:39:00","2019-07-29 10:58:59","epkdoc01","epkdoc01"
"20021","1","08:30","18:00","1","1","1","1","1","1","0","0","1","2017-08-17 12:16:18","2019-07-02 10:32:38","epkdoc01","epkdoc01"
"20021","2",,,"0","0","0","0","0","0","0","0","1","2017-08-17 12:16:18","2019-07-02 10:32:38","epkdoc01","epkdoc01"
"20021","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 12:16:18","2019-07-02 10:32:38","epkdoc01","epkdoc01"
"20021","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 12:16:18","2019-07-02 10:32:38","epkdoc01","epkdoc01"
"20022","1","10:00","13:00","1","1","1","0","1","0","0","0","1","2017-08-16 14:26:15","2019-07-10 15:16:44","epkdoc01","epkdoc01"
"20022","2","14:00","18:00","1","1","1","1","1","0","0","0","1","2017-08-16 14:26:15","2019-07-10 15:16:44","epkdoc01","epkdoc01"
"20022","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 14:26:15","2019-07-10 15:16:44","epkdoc01","epkdoc01"
"20022","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 14:26:15","2019-07-10 15:16:44","epkdoc01","epkdoc01"
"20023","1","09:00","18:00","1","1","1","1","1","0","0","0","1","2017-08-17 11:39:45","2019-01-09 13:14:04","epkdoc01","epkdoc01"
"20023","2","09:00","15:00","0","0","0","0","0","1","0","0","1","2017-08-17 11:39:45","2019-01-09 13:14:04","epkdoc01","epkdoc01"
"20023","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 11:39:45","2019-01-09 13:14:04","epkdoc01","epkdoc01"
"20023","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 11:39:46","2019-01-09 13:14:04","epkdoc01","epkdoc01"
"20024","1","09:00","11:30","1","1","1","1","1","0","0","0","1","2017-08-14 15:38:05","2019-07-09 10:31:35","epkdoc01","epkdoc01"
"20024","2","14:00","17:00","1","1","0","1","1","0","0","0","1","2017-08-14 15:38:05","2019-07-09 10:31:35","epkdoc01","epkdoc01"
"20024","3","09:00","12:30","0","0","0","0","0","1","1","0","1","2017-08-14 15:38:05","2019-07-09 10:31:35","epkdoc01","epkdoc01"
"20024","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 15:38:05","2019-07-09 10:31:35","epkdoc01","epkdoc01"
"20025","1","08:00","11:00","1","1","1","1","1","1","0","0","1","2017-08-15 16:26:13","2019-01-09 13:16:09","epkdoc01","epkdoc01"
"20025","2","14:00","15:00","1","1","1","1","1","0","0","0","1","2017-08-15 16:26:13","2019-01-09 13:16:09","epkdoc01","epkdoc01"
"20025","3",,,"0","0","0","0","0","0","0","0","1","2017-08-15 16:26:13","2019-01-09 13:16:09","epkdoc01","epkdoc01"
"20025","4",,,"0","0","0","0","0","0","0","0","1","2017-08-15 16:26:13","2019-01-09 13:16:09","epkdoc01","epkdoc01"
"20027","1","09:00","18:00","1","1","1","1","1","0","0","0","1","2017-08-17 14:42:45","2019-08-21 11:13:30","epkdoc01","epkdoc01"
"20027","2","09:00","12:30","0","0","0","0","0","1","0","0","1","2017-08-17 14:42:45","2019-08-21 11:13:30","epkdoc01","epkdoc01"
"20027","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 14:42:45","2019-08-21 11:13:30","epkdoc01","epkdoc01"
"20027","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 14:42:45","2019-08-21 11:13:30","epkdoc01","epkdoc01"
"20028","1","07:30","17:00","1","1","1","1","1","1","0","0","1","2017-08-14 16:43:45","2019-05-10 15:08:49","epkdoc01","epkdoc01"
"20028","2",,,"0","0","0","0","0","0","0","0","1","2017-08-14 16:43:45","2019-05-10 15:08:49","epkdoc01","epkdoc01"
"20028","3",,,"0","0","0","0","0","0","0","0","1","2017-08-14 16:43:45","2019-05-10 15:08:49","epkdoc01","epkdoc01"
"20028","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 16:43:45","2019-05-10 15:08:49","epkdoc01","epkdoc01"
"20029","1","08:30","13:00","1","1","1","1","0","1","0","0","1","2017-08-14 19:56:33","2019-07-26 10:43:29","epkdoc01","epkdoc01"
"20029","2","14:00","17:00","1","1","1","1","1","0","0","0","1","2017-08-14 19:56:33","2019-07-26 10:43:29","epkdoc01","epkdoc01"
"20029","3",,,"0","0","0","0","0","0","0","0","1","2017-08-14 19:56:34","2019-07-26 10:43:29","epkdoc01","epkdoc01"
"20029","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 19:56:34","2019-07-26 10:43:29","epkdoc01","epkdoc01"
"20031","1","09:10","12:30","1","1","1","1","1","1","0","0","1","2017-08-17 14:03:13","2019-09-09 10:31:57","epkdoc01","epkdoc01"
"20031","2","14:30","16:30","1","1","0","1","1","0","0","0","1","2017-08-17 14:03:13","2019-09-09 10:31:57","epkdoc01","epkdoc01"
"20031","3","18:00","19:30","0","1","0","1","0","0","0","0","1","2017-08-17 14:03:13","2019-09-09 10:31:57","epkdoc01","epkdoc01"
"20031","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 14:03:13","2019-09-09 10:31:57","epkdoc01","epkdoc01"
"20032","1","08:30","12:00","1","1","1","1","1","1","0","0","1","2017-08-14 17:01:55","2019-07-23 15:38:11","epkdoc01","epkdoc01"
"20032","2","13:30","17:00","1","1","1","1","1","0","0","0","1","2017-08-14 17:01:55","2019-07-23 15:38:11","epkdoc01","epkdoc01"
"20032","3",,,"0","0","0","0","0","0","0","0","1","2017-08-14 17:01:55","2019-07-23 15:38:11","epkdoc01","epkdoc01"
"20032","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 17:01:55","2019-07-23 15:38:11","epkdoc01","epkdoc01"
"20033","1","08:30","17:15","1","1","1","1","1","1","0","0","1","2017-08-17 13:50:20","2019-07-05 11:01:54","epkdoc01","epkdoc01"
"20033","2",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:50:20","2019-07-05 11:01:54","epkdoc01","epkdoc01"
"20033","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:50:20","2019-07-05 11:01:54","epkdoc01","epkdoc01"
"20033","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:50:20","2019-07-05 11:01:54","epkdoc01","epkdoc01"
"20034","1","10:00","13:00","1","0","1","1","1","1","1","0","1","2017-08-16 11:39:11","2019-01-09 13:14:48","epkdoc01","epkdoc01"
"20034","2","16:00","20:00","1","0","1","0","1","0","0","0","1","2017-08-16 11:39:11","2019-01-09 13:14:48","epkdoc01","epkdoc01"
"20034","3","16:00","18:00","0","0","0","0","0","1","1","0","1","2017-08-16 11:39:11","2019-01-09 13:14:48","epkdoc01","epkdoc01"
"20034","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 11:39:11","2019-01-09 13:14:48","epkdoc01","epkdoc01"
"20035","1","09:00","12:00","1","0","1","1","1","1","1","0","1","2017-08-16 11:43:54","2019-11-13 17:55:59","epkdoc01","epkdoc01"
"20035","2","14:00","18:00","1","0","1","1","1","1","1","0","1","2017-08-16 11:43:54","2019-11-13 17:55:59","epkdoc01","epkdoc01"
"20035","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 11:43:54","2019-11-13 17:55:59","epkdoc01","epkdoc01"
"20035","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 11:43:54","2019-11-13 17:55:59","epkdoc01","epkdoc01"
"20036","1","09:00","17:00","1","1","1","1","1","1","0","0","1","2017-08-17 09:29:40","2019-01-09 13:12:37","epkdoc01","epkdoc01"
"20036","2",,,"0","0","0","0","0","0","0","0","1","2017-08-17 09:29:40","2019-01-09 13:12:37","epkdoc01","epkdoc01"
"20036","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 09:29:40","2019-01-09 13:12:37","epkdoc01","epkdoc01"
"20036","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 09:29:40","2019-01-09 13:12:37","epkdoc01","epkdoc01"
"20037","1","09:00","13:00","1","1","1","1","1","0","0","0","1","2017-08-17 13:06:48","2019-11-20 18:46:07","epkdoc01","epkdoc01"
"20037","2","15:00","19:00","1","1","1","1","1","0","0","0","1","2017-08-17 13:06:48","2019-11-20 18:46:07","epkdoc01","epkdoc01"
"20037","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:06:48","2019-11-20 18:46:07","epkdoc01","epkdoc01"
"20037","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:06:48","2019-11-20 18:46:07","epkdoc01","epkdoc01"
"20038","1","09:00","12:00","1","1","1","1","0","0","0","0","1","2017-08-09 12:24:03","2018-03-22 16:55:58","epkdoc01","epkdoc01"
"20038","2","14:00","18:00","1","1","1","1","0","0","0","0","1","2017-08-09 12:24:03","2018-03-22 16:55:58","epkdoc01","epkdoc01"
"20038","3","09:00","14:00","0","0","0","0","0","1","0","0","1","2017-08-09 12:24:03","2018-03-22 16:55:58","epkdoc01","epkdoc01"
"20038","4",,,"0","0","0","0","0","0","0","0","1","2017-08-09 12:24:03","2018-03-22 16:55:58","epkdoc01","epkdoc01"
"20039","1","09:00","12:00","1","0","0","1","0","0","0","0","1","2017-08-17 18:32:10","2019-11-01 15:20:16","epkdoc01","epkdoc01"
"20039","2","08:30","12:00","0","1","1","0","1","1","0","0","1","2017-08-17 18:32:10","2019-11-01 15:20:16","epkdoc01","epkdoc01"
"20039","3","14:00","17:00","1","1","1","1","1","1","0","0","1","2017-08-17 18:32:10","2019-11-01 15:20:16","epkdoc01","epkdoc01"
"20039","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 18:32:10","2019-11-01 15:20:17","epkdoc01","epkdoc01"
"20040","1","09:00","12:30","1","1","1","0","1","1","0","0","1","2017-08-15 18:30:58","2019-11-20 18:51:31","epkdoc01","epkdoc01"
"20040","2",,,"0","0","0","0","0","0","0","0","1","2017-08-15 18:30:58","2019-11-20 18:51:31","epkdoc01","epkdoc01"
"20040","3",,,"0","0","0","0","0","0","0","0","1","2017-08-15 18:30:58","2019-11-20 18:51:31","epkdoc01","epkdoc01"
"20040","4",,,"0","0","0","0","0","0","0","0","1","2017-08-15 18:30:58","2019-11-20 18:51:31","epkdoc01","epkdoc01"
"20041","1","09:00","11:30","1","1","1","1","1","1","0","0","1","2017-08-16 14:17:24","2019-08-21 11:51:27","epkdoc01","epkdoc01"
"20041","2","14:00","17:30","1","1","1","1","1","1","0","0","1","2017-08-16 14:17:24","2019-08-21 11:51:27","epkdoc01","epkdoc01"
"20041","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 14:17:24","2019-08-21 11:51:27","epkdoc01","epkdoc01"
"20041","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 14:17:24","2019-08-21 11:51:27","epkdoc01","epkdoc01"
"20042","1","08:30","18:30","1","1","1","0","1","1","1","1","1","2017-08-16 17:08:45","2019-11-27 17:57:41","epkdoc01","epkdoc01"
"20042","2",,,"0","0","0","0","0","0","0","0","1","2017-08-16 17:08:45","2019-11-27 17:57:41","epkdoc01","epkdoc01"
"20042","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 17:08:45","2019-11-27 17:57:41","epkdoc01","epkdoc01"
"20042","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 17:08:45","2019-11-27 17:57:41","epkdoc01","epkdoc01"
"20043","1","09:00","12:30","1","1","1","1","1","0","0","0","1","2017-08-16 13:44:22","2019-11-28 16:57:20","epkdoc01","epkdoc01"
"20043","2","14:00","17:30","1","1","1","1","1","0","0","0","1","2017-08-16 13:44:23","2019-11-28 16:57:20","epkdoc01","epkdoc01"
"20043","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 13:44:23","2019-11-28 16:57:20","epkdoc01","epkdoc01"
"20043","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 13:44:23","2019-11-28 16:57:20","epkdoc01","epkdoc01"
"20045","1","09:00","12:30","1","1","1","1","0","1","1","0","1","2017-08-16 18:51:09","2019-11-20 18:49:15","epkdoc01","epkdoc01"
"20045","2","15:00","19:00","1","1","1","1","0","0","0","0","1","2017-08-16 18:51:09","2019-11-20 18:49:15","epkdoc01","epkdoc01"
"20045","3","15:00","17:00","0","0","0","0","0","1","1","0","1","2017-08-16 18:51:09","2019-11-20 18:49:15","epkdoc01","epkdoc01"
"20045","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 18:51:09","2019-11-20 18:49:15","epkdoc01","epkdoc01"
"20046","1","09:00","16:00","1","1","1","1","1","0","0","0","1","2017-08-18 13:47:50","2019-08-21 11:21:43","epkdoc01","epkdoc01"
"20046","2","09:00","12:00","0","0","0","0","0","1","0","0","1","2017-08-18 13:47:50","2019-08-21 11:21:43","epkdoc01","epkdoc01"
"20046","3",,,"0","0","0","0","0","0","0","0","1","2017-08-18 13:47:50","2019-08-21 11:21:43","epkdoc01","epkdoc01"
"20046","4",,,"0","0","0","0","0","0","0","0","1","2017-08-18 13:47:50","2019-08-21 11:21:43","epkdoc01","epkdoc01"
"20048","1","08:30","12:30","1","1","1","1","1","1","0","0","1","2017-08-14 17:13:26","2019-01-09 13:10:26","epkdoc01","epkdoc01"
"20048","2","13:30","17:00","1","1","1","1","1","1","0","0","1","2017-08-14 17:13:26","2019-01-09 13:10:26","epkdoc01","epkdoc01"
"20048","3",,,"0","0","0","0","0","0","0","0","1","2017-08-14 17:13:26","2019-01-09 13:10:26","epkdoc01","epkdoc01"
"20048","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 17:13:26","2019-01-09 13:10:26","epkdoc01","epkdoc01"
"20050","1","08:00","11:30","1","0","0","0","0","0","0","0","1","2017-08-17 13:15:31","2019-01-09 13:15:32","epkdoc01","epkdoc01"
"20050","2",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:15:31","2019-01-09 13:15:32","epkdoc01","epkdoc01"
"20050","3",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:15:31","2019-01-09 13:15:32","epkdoc01","epkdoc01"
"20050","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 13:15:31","2019-01-09 13:15:32","epkdoc01","epkdoc01"
"20051","1","09:00","16:00","1","1","1","1","1","0","0","0","1","2017-08-16 10:52:35","2019-09-12 17:32:26","epkdoc01","epkdoc01"
"20051","2","09:00","11:30","0","0","0","0","0","1","0","0","1","2017-08-16 10:52:35","2019-09-12 17:32:26","epkdoc01","epkdoc01"
"20051","3",,,"0","0","0","0","0","0","0","0","1","2017-08-16 10:52:35","2019-09-12 17:32:26","epkdoc01","epkdoc01"
"20051","4",,,"0","0","0","0","0","0","0","0","1","2017-08-16 10:52:35","2019-09-12 17:32:26","epkdoc01","epkdoc01"
"20052","1","10:00","12:30","1","1","1","1","1","1","1","0","1","2017-08-17 17:48:24","2019-09-17 18:52:08","epkdoc01","epkdoc01"
"20052","2","14:30","18:30","1","1","1","1","1","0","0","0","1","2017-08-17 17:48:24","2019-09-17 18:52:08","epkdoc01","epkdoc01"
"20052","3","14:30","17:00","0","0","0","0","0","1","1","0","1","2017-08-17 17:48:24","2019-09-17 18:52:08","epkdoc01","epkdoc01"
"20052","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 17:48:24","2019-09-17 18:52:08","epkdoc01","epkdoc01"
"20053","1","10:00","12:30","1","0","1","1","1","1","1","0","1","2017-08-17 15:26:42","2019-08-21 11:16:56","epkdoc01","epkdoc01"
"20053","2","14:30","18:30","1","0","1","1","1","0","0","0","1","2017-08-17 15:26:43","2019-08-21 11:16:56","epkdoc01","epkdoc01"
"20053","3","14:30","17:00","0","0","0","0","0","1","1","0","1","2017-08-17 15:26:43","2019-08-21 11:16:56","epkdoc01","epkdoc01"
"20053","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 15:26:43","2019-08-21 11:16:56","epkdoc01","epkdoc01"
"20054","1","10:00","12:30","1","1","1","1","1","1","1","0","1","2017-08-17 15:59:39","2019-01-09 13:13:27","epkdoc01","epkdoc01"
"20054","2","14:30","18:30","1","1","1","1","1","0","0","0","1","2017-08-17 15:59:39","2019-01-09 13:13:27","epkdoc01","epkdoc01"
"20054","3","14:30","16:30","0","0","0","0","0","1","0","0","1","2017-08-17 15:59:39","2019-01-09 13:13:27","epkdoc01","epkdoc01"
"20054","4",,,"0","0","0","0","0","0","0","0","1","2017-08-17 15:59:39","2019-01-09 13:13:27","epkdoc01","epkdoc01"
"20055","1","09:00","12:30","1","1","0","1","1","1","0","0","1","2017-08-14 17:21:48","2019-07-25 12:14:20","epkdoc01","epkdoc01"
"20055","2","15:00","19:00","1","1","0","1","1","0","0","0","1","2017-08-14 17:21:48","2019-07-25 12:14:20","epkdoc01","epkdoc01"
"20055","3",,,"0","0","0","0","0","0","0","0","1","2017-08-14 17:21:48","2019-07-25 12:14:20","epkdoc01","epkdoc01"
"20055","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 17:21:48","2019-07-25 12:14:20","epkdoc01","epkdoc01"
"20056","1","09:00","12:00","1","1","1","1","1","0","0","0","1","2017-08-14 17:28:18","2019-10-18 15:17:07","epkdoc01","epkdoc01"
"20056","2","15:00","18:00","1","1","1","1","1","0","0","0","1","2017-08-14 17:28:18","2019-10-18 15:17:07","epkdoc01","epkdoc01"
"20056","3","09:00","13:00","0","0","0","0","0","1","0","0","1","2017-08-14 17:28:18","2019-10-18 15:17:07","epkdoc01","epkdoc01"
"20056","4",,,"0","0","0","0","0","0","0","0","1","2017-08-14 17:28:18","2019-10-18 15:17:07","epkdoc01","epkdoc01"
